"disease_id","pathway_id","evidence","weight"
"36","484","context_pathway_projection","0.4263852536678314"
"36","601","context_pathway_projection","0.2982507050037384"
"36","967","context_pathway_projection","0.43373674154281616"
"36","968","context_pathway_projection","0.4263852536678314"
"36","969","context_pathway_projection","0.4410881996154785"
"36","970","context_pathway_projection","0.4024930000305176"
"36","1011","context_pathway_projection","0.4263852536678314"
"36","1012","context_pathway_projection","0.398817241191864"
"36","1013","context_pathway_projection","0.4263852536678314"
"37","285","context_pathway_projection","0.31878429651260376"
"37","289","context_pathway_projection","0.3783484697341919"
"37","437","context_pathway_projection","0.3570330739021301"
"37","484","context_pathway_projection","0.4332439601421356"
"37","625","context_pathway_projection","0.32529008388519287"
"37","967","context_pathway_projection","0.44071370363235474"
"37","968","context_pathway_projection","0.4332439601421356"
"37","969","context_pathway_projection","0.44818341732025146"
"37","970","context_pathway_projection","0.40896737575531006"
"37","1011","context_pathway_projection","0.4332439601421356"
"37","1012","context_pathway_projection","0.4052324891090393"
"37","1013","context_pathway_projection","0.4332439601421356"
"38","111","context_pathway_projection","0.16496357321739197"
"38","289","context_pathway_projection","0.19294245541095734"
"38","437","context_pathway_projection","0.1820724606513977"
"38","484","context_pathway_projection","0.21243242919445038"
"38","967","context_pathway_projection","0.21609506011009216"
"38","968","context_pathway_projection","0.21243242919445038"
"38","969","context_pathway_projection","0.21975769102573395"
"38","970","context_pathway_projection","0.20052890479564667"
"38","972","context_pathway_projection","0.16580308973789215"
"38","1011","context_pathway_projection","0.21243242919445038"
"38","1012","context_pathway_projection","0.19869756698608398"
"38","1013","context_pathway_projection","0.21243242919445038"
"39","199","context_pathway_projection","0.4623525142669678"
"39","284","context_pathway_projection","0.4529167115688324"
"39","285","context_pathway_projection","0.4623525142669678"
"39","286","context_pathway_projection","0.4623525142669678"
"39","434","context_pathway_projection","0.37705904245376587"
"39","518","context_pathway_projection","0.5025819540023804"
"39","524","context_pathway_projection","0.43589791655540466"
"39","528","context_pathway_projection","0.4917948246002197"
"39","625","context_pathway_projection","0.4717882573604584"
"39","631","context_pathway_projection","0.40451717376708984"
"39","653","context_pathway_projection","0.4340451955795288"
"39","668","context_pathway_projection","0.4084397852420807"
"40","199","context_pathway_projection","0.33468738198280334"
"40","289","context_pathway_projection","0.39855071902275085"
"40","437","context_pathway_projection","0.376097172498703"
"40","484","context_pathway_projection","0.4351229667663574"
"40","625","context_pathway_projection","0.34151771664619446"
"40","967","context_pathway_projection","0.44262510538101196"
"40","968","context_pathway_projection","0.4351229667663574"
