"drug_id","pathway_id","weight","evidence"
"6","542","1.0","pathway_prior_projection"
"6","613","1.0","pathway_prior_projection"
"6","627","1.0","pathway_prior_projection"
"6","676","1.0","pathway_prior_projection"
"6","677","1.0","pathway_prior_projection"
"6","690","1.0","pathway_prior_projection"
"6","691","1.0","pathway_prior_projection"
"6","759","1.0","pathway_prior_projection"
"6","812","1.0","pathway_prior_projection"
"6","813","1.0","pathway_prior_projection"
"6","824","1.0","pathway_prior_projection"
"6","825","1.0","pathway_prior_projection"
"6","840","1.0","pathway_prior_projection"
"6","1004","1.0","pathway_prior_projection"
"6","1029","1.0","pathway_prior_projection"
"6","1030","1.0","pathway_prior_projection"
"6","1031","1.0","pathway_prior_projection"
"6","1032","1.0","pathway_prior_projection"
"6","1057","1.0","pathway_prior_projection"
"6","1074","1.0","pathway_prior_projection"
"7","44","1.0","pathway_prior_projection"
"7","50","1.0","pathway_prior_projection"
"7","57","1.0","pathway_prior_projection"
"7","75","1.0","pathway_prior_projection"
"7","76","1.0","pathway_prior_projection"
"7","91","1.0","pathway_prior_projection"
"7","92","1.0","pathway_prior_projection"
"7","111","1.0","pathway_prior_projection"
"7","116","1.0","pathway_prior_projection"
"7","118","1.0","pathway_prior_projection"
"7","119","1.0","pathway_prior_projection"
"7","120","1.0","pathway_prior_projection"
"7","121","1.0","pathway_prior_projection"
"7","137","1.0","pathway_prior_projection"
"7","138","1.0","pathway_prior_projection"
"7","144","1.0","pathway_prior_projection"
"7","145","1.0","pathway_prior_projection"
"7","146","1.0","pathway_prior_projection"
"7","147","1.0","pathway_prior_projection"
"7","159","1.0","pathway_prior_projection"
"7","162","1.0","pathway_prior_projection"
"7","163","1.0","pathway_prior_projection"
"7","193","1.0","pathway_prior_projection"
"7","194","1.0","pathway_prior_projection"
"7","195","1.0","pathway_prior_projection"
"7","197","1.0","pathway_prior_projection"
"7","201","1.0","pathway_prior_projection"
"7","212","1.0","pathway_prior_projection"
"7","222","1.0","pathway_prior_projection"
"7","231","1.0","pathway_prior_projection"
"7","232","1.0","pathway_prior_projection"
"7","234","1.0","pathway_prior_projection"
"7","235","1.0","pathway_prior_projection"
"7","236","1.0","pathway_prior_projection"
"7","237","1.0","pathway_prior_projection"
"7","265","1.0","pathway_prior_projection"
"7","268","1.0","pathway_prior_projection"
"7","276","1.0","pathway_prior_projection"
"7","288","1.0","pathway_prior_projection"
"7","298","1.0","pathway_prior_projection"
"7","310","1.0","pathway_prior_projection"
"7","313","1.0","pathway_prior_projection"
"7","322","1.0","pathway_prior_projection"
"7","323","1.0","pathway_prior_projection"
"7","338","1.0","pathway_prior_projection"
