id,name,canonical_name,source_datasets,type
373,miR-204-5p,mir-204-5p,dataset1,ncrna
374,miR-205,mir-205,dataset1,ncrna
375,miR-205-5p,mir-205-5p,dataset1,ncrna
376,miR-206,mir-206,dataset1,ncrna
377,miR-20a,mir-20a,dataset1,ncrna
378,miR-20a-5p,mir-20a-5p,dataset1,ncrna
379,miR-20b,mir-20b,dataset1,ncrna
380,miR-21,mir-21,dataset1,ncrna
381,miR-21-3p,mir-21-3p,dataset1,ncrna
382,miR-21-5p,mir-21-5p,dataset1,ncrna
383,miR-210,mir-210,dataset1,ncrna
384,miR-210-3p,mir-210-3p,dataset1,ncrna
385,miR-211,mir-211,dataset1,ncrna
386,miR-211-5p,mir-211-5p,dataset1,ncrna
387,miR-2113,mir-2113,dataset1,ncrna
388,miR-212,mir-212,dataset1,ncrna
389,miR-214,mir-214,dataset1,ncrna
390,miR-215,mir-215,dataset1,ncrna
391,miR-215-5p,mir-215-5p,dataset1,ncrna
392,miR-216a,mir-216a,dataset1,ncrna
393,miR-216b,mir-216b,dataset1,ncrna
394,miR-216b-5p,mir-216b-5p,dataset1,ncrna
395,miR-217,mir-217,dataset1,ncrna
396,miR-218-5p,mir-218-5p,dataset1,ncrna
397,miR-219a-5p,mir-219a-5p,dataset1,ncrna
398,miR-22,mir-22,dataset1,ncrna
399,miR-22-3p,mir-22-3p,dataset1,ncrna
400,miR-221,mir-221,dataset1,ncrna
401,miR-221-3p,mir-221-3p,dataset1,ncrna
402,miR-222,mir-222,dataset1,ncrna
403,miR-222-3p,mir-222-3p,dataset1,ncrna
404,miR-223,mir-223,dataset1,ncrna
405,miR-223-3p,mir-223-3p,dataset1,ncrna
406,miR-224,mir-224,dataset1,ncrna
407,miR-224-3p,mir-224-3p,dataset1,ncrna
408,miR-2278,mir-2278,dataset1,ncrna
409,miR-23a,mir-23a,dataset1,ncrna
410,miR-23a-3p,mir-23a-3p,dataset1,ncrna
411,miR-23b,mir-23b,dataset1,ncrna
412,miR-23b-3p,mir-23b-3p,dataset1,ncrna
413,miR-24-3p,mir-24-3p,dataset1,ncrna
414,miR-25,mir-25,dataset1,ncrna
415,miR-25-3p,mir-25-3p,dataset1,ncrna
416,miR-25-5p,mir-25-5p,dataset1,ncrna
417,miR-26b,mir-26b,dataset1,ncrna
418,miR-27a,mir-27a,dataset1,ncrna
419,miR-27a-3p,mir-27a-3p,dataset1,ncrna
420,miR-27b,mir-27b,dataset1,ncrna
421,miR-27b-3p,mir-27b-3p,dataset1,ncrna
422,miR-28-3p,mir-28-3p,dataset1,ncrna
423,miR-296,mir-296,dataset1,ncrna
424,miR-296-3p,mir-296-3p,dataset1,ncrna
425,miR-298,mir-298,dataset1,ncrna
426,miR-299-3p,mir-299-3p,dataset1,ncrna
427,miR-29a,mir-29a,dataset1,ncrna
428,miR-29a-3p,mir-29a-3p,dataset1,ncrna
429,miR-29b-1,mir-29b-1,dataset1,ncrna
430,miR-29b-3p,mir-29b-3p,dataset1,ncrna
431,miR-29c,mir-29c,dataset1,ncrna
